,accuracy,loss,mae,val_accuracy,val_loss,val_mae
0,0.9814838767051697,0.0763184130191803,0.035013455897569656,0.9917709231376648,0.04077107086777687,0.019838031381368637
1,1.0,0.004901698790490627,0.004859840031713247,0.9915319085121155,0.04130322113633156,0.020259631797671318
2,0.9932816028594971,0.029343148693442345,0.011719427071511745,0.9953789710998535,0.022991692647337914,0.010975007899105549
3,1.0,0.005539188161492348,0.005486609879881144,0.9954245090484619,0.02307741902768612,0.011148783378303051
4,0.9956690669059753,0.019259389489889145,0.007488606497645378,0.995959460735321,0.021248148754239082,0.008240116760134697
5,1.0,0.002528992248699069,0.0025219011586159468,0.9959708452224731,0.021199576556682587,0.00829495582729578
6,0.996804416179657,0.014512392692267895,0.005512957461178303,0.996039092540741,0.020773394033312798,0.008137890137732029
7,1.0,0.002312451135367155,0.0023045840207487345,0.9960504770278931,0.020848745480179787,0.008280837908387184
8,0.9973877668380737,0.011792507953941822,0.004449587780982256,0.9962326288223267,0.020400000736117363,0.005675700027495623
9,1.0,0.0004125929845031351,0.00041229065391235054,0.9961984753608704,0.020247215405106544,0.005757504608482122
